set,size,algorithm,timing,n
0,2010,changegreedy,0.020980835,5
0,2010,changedp,15.93708992,5
1,2015,changegreedy,0.017881393,5
1,2015,changedp,13.27514648,5
2,2020,changegreedy,0.024795532,5
2,2020,changedp,12.89701462,5
3,2025,changegreedy,0.014066696,5
3,2025,changedp,12.10999489,5
4,2030,changegreedy,0.043869019,5
4,2030,changedp,12.61711121,5
5,2035,changegreedy,0.017166138,5
5,2035,changedp,12.43281364,5
6,2040,changegreedy,0.020980835,5
6,2040,changedp,12.45713234,5
7,2045,changegreedy,0.020027161,5
7,2045,changedp,16.05606079,5
8,2050,changegreedy,0.015974045,5
8,2050,changedp,12.32099533,5
9,2055,changegreedy,0.012874603,5
9,2055,changedp,12.93921471,5
10,2060,changegreedy,0.020027161,5
10,2060,changedp,12.7260685,5
11,2065,changegreedy,0.011920929,5
11,2065,changedp,12.53390312,5
12,2070,changegreedy,0.023126602,5
12,2070,changedp,12.4540329,5
13,2075,changegreedy,0.012874603,5
13,2075,changedp,12.71486282,5
14,2080,changegreedy,0.021219254,5
14,2080,changedp,12.94803619,5
15,2085,changegreedy,0.01502037,5
15,2085,changedp,12.64882088,5
16,2090,changegreedy,0.019073486,5
16,2090,changedp,12.72010803,5
17,2095,changegreedy,0.012874603,5
17,2095,changedp,12.67123222,5
18,2100,changegreedy,0.058174133,5
18,2100,changedp,12.59803772,5
19,2105,changegreedy,0.013113022,5
19,2105,changedp,12.88294792,5
20,2110,changegreedy,0.021934509,5
20,2110,changedp,12.72392273,5
21,2115,changegreedy,0.013113022,5
21,2115,changedp,12.65287399,5
22,2120,changegreedy,0.021219254,5
22,2120,changedp,13.00883293,5
23,2125,changegreedy,0.013113022,5
23,2125,changedp,12.88509369,5
24,2130,changegreedy,0.021934509,5
24,2130,changedp,12.76493073,5
25,2135,changegreedy,0.01502037,5
25,2135,changedp,12.87984848,5
26,2140,changegreedy,0.021934509,5
26,2140,changedp,12.72106171,5
27,2145,changegreedy,0.01502037,5
27,2145,changedp,13.05198669,5
28,2150,changegreedy,0.020980835,5
28,2150,changedp,13.14997673,5
29,2155,changegreedy,0.014066696,5
29,2155,changedp,13.08703423,5
30,2160,changegreedy,0.027179718,5
30,2160,changedp,12.81404495,5
31,2165,changegreedy,0.012874603,5
31,2165,changedp,13.35906982,5
32,2170,changegreedy,0.03695488,5
32,2170,changedp,12.33506203,5
33,2175,changegreedy,0.014066696,5
33,2175,changedp,12.76397705,5
34,2180,changegreedy,0.022888184,5
34,2180,changedp,17.91787148,5
35,2185,changegreedy,0.013113022,5
35,2185,changedp,13.49711418,5
36,2190,changegreedy,0.025987625,5
36,2190,changedp,13.69404793,5
37,2195,changegreedy,0.012874603,5
37,2195,changedp,13.56101036,5
38,2200,changegreedy,0.019073486,5
38,2200,changedp,13.75293732,5
0,2000,changegreedy,0.014066696,7
0,2000,changedp,15.01893997,7
1,2001,changegreedy,0.026941299,7
1,2001,changedp,14.83297348,7
2,2002,changegreedy,0.013113022,7
2,2002,changedp,15.38300514,7
3,2003,changegreedy,0.015974045,7
3,2003,changedp,14.94407654,7
4,2004,changegreedy,0.013113022,7
4,2004,changedp,15.8572197,7
5,2005,changegreedy,0.016927719,7
5,2005,changedp,15.10095596,7
6,2006,changegreedy,0.012874603,7
6,2006,changedp,15.53893089,7
7,2007,changegreedy,0.020027161,7
7,2007,changedp,14.90497589,7
8,2008,changegreedy,0.046014786,7
