set,size,algorithm,coins
0,2010,changegreedy,41
0,2010,changedp,41
1,2015,changegreedy,42
1,2015,changedp,42
2,2020,changegreedy,42
2,2020,changedp,42
3,2025,changegreedy,41
3,2025,changedp,41
4,2030,changegreedy,42
4,2030,changedp,42
5,2035,changegreedy,42
5,2035,changedp,42
6,2040,changegreedy,43
6,2040,changedp,43
7,2045,changegreedy,43
7,2045,changedp,43
8,2050,changegreedy,41
8,2050,changedp,41
9,2055,changegreedy,42
9,2055,changedp,42
10,2060,changegreedy,42
10,2060,changedp,42
11,2065,changegreedy,43
11,2065,changedp,43
12,2070,changegreedy,43
12,2070,changedp,43
13,2075,changegreedy,42
13,2075,changedp,42
14,2080,changegreedy,43
14,2080,changedp,43
15,2085,changegreedy,43
15,2085,changedp,43
16,2090,changegreedy,44
16,2090,changedp,44
17,2095,changegreedy,44
17,2095,changedp,44
18,2100,changegreedy,42
18,2100,changedp,42
19,2105,changegreedy,43
19,2105,changedp,43
20,2110,changegreedy,43
20,2110,changedp,43
21,2115,changegreedy,44
21,2115,changedp,44
22,2120,changegreedy,44
22,2120,changedp,44
23,2125,changegreedy,43
23,2125,changedp,43
24,2130,changegreedy,44
24,2130,changedp,44
25,2135,changegreedy,44
25,2135,changedp,44
26,2140,changegreedy,45
26,2140,changedp,45
27,2145,changegreedy,45
27,2145,changedp,45
28,2150,changegreedy,43
28,2150,changedp,43
29,2155,changegreedy,44
29,2155,changedp,44
30,2160,changegreedy,44
30,2160,changedp,44
31,2165,changegreedy,45
31,2165,changedp,45
32,2170,changegreedy,45
32,2170,changedp,45
33,2175,changegreedy,44
33,2175,changedp,44
34,2180,changegreedy,45
34,2180,changedp,45
35,2185,changegreedy,45
35,2185,changedp,45
36,2190,changegreedy,46
36,2190,changedp,46
37,2195,changegreedy,46
37,2195,changedp,46
38,2200,changegreedy,44
38,2200,changedp,44
0,2000,changegreedy,36
0,2000,changedp,36
1,2001,changegreedy,37
1,2001,changedp,37
2,2002,changegreedy,37
2,2002,changedp,37
3,2003,changegreedy,38
3,2003,changedp,38
4,2004,changegreedy,34
4,2004,changedp,34
5,2005,changegreedy,35
5,2005,changedp,35
6,2006,changegreedy,35
6,2006,changedp,35
7,2007,changegreedy,36
7,2007,changedp,36
8,2008,changegreedy,36
8,2008,changedp,36
9,2009,changegreedy,37
9,2009,changedp,37
10,2010,changegreedy,35
10,2010,changedp,35
11,2011,changegreedy,36
11,2011,changedp,36
12,2012,changegreedy,36
12,2012,changedp,36
13,2013,changegreedy,37
13,2013,changedp,37
14,2014,changegreedy,37
14,2014,changedp,37
15,2015,changegreedy,38
15,2015,changedp,38
16,2016,changegreedy,35
16,2016,changedp,34
17,2017,changegreedy,36
17,2017,changedp,35
18,2018,changegreedy,36
18,2018,changedp,35
19,2019,changegreedy,37
19,2019,changedp,36
20,2020,changegreedy,37
20,2020,changedp,36
21,2021,changegreedy,38
21,2021,changedp,37
22,2022,changegreedy,36
22,2022,changedp,35
23,2023,changegreedy,37
23,2023,changedp,36
24,2024,changegreedy,37
24,2024,changedp,36
25,2025,changegreedy,38
25,2025,changedp,37
26,2026,changegreedy,38
26,2026,changedp,37
27,2027,changegreedy,39
27,2027,changedp,38
28,2028,changegreedy,34
28,2028,changedp,34
29,2029,changegreedy,35
29,2029,changedp,35
30,2030,changegreedy,35
30,2030,changedp,35
31,2031,changegreedy,36
31,2031,changedp,36
32,2032,changegreedy,36
32,2032,changedp,36
33,2033,changegreedy,37
33,2033,changedp,37
34,2034,changegreedy,35
34,2034,changedp,35
35,2035,changegreedy,36
35,2035,changedp,36
36,2036,changegreedy,36
36,2036,changedp,36
37,2037,changegreedy,37
37,2037,changedp,37
38,2038,changegreedy,37
38,2038,changedp,37
39,2039,changegreedy,38
39,2039,changedp,38
40,2040,changegreedy,34
40,2040,changedp,34
41,2041,changegreedy,35
41,2041,changedp,35
42,2042,changegreedy,35
42,2042,changedp,35
43,2043,changegreedy,36
43,2043,changedp,36
44,2044,changegreedy,36
44,2044,changedp,36
45,2045,changegreedy,37
45,2045,changedp,37
46,2046,changegreedy,35
46,2046,changedp,35
47,2047,changegreedy,36
47,2047,changedp,36
48,2048,changegreedy,36
48,2048,changedp,36
49,2049,changegreedy,37
49,2049,changedp,37
50,2050,changegreedy,37
50,2050,changedp,37
51,2051,changegreedy,38
51,2051,changedp,38
52,2052,changegreedy,35
52,2052,changedp,35
53,2053,changegreedy,36
53,2053,changedp,36
54,2054,changegreedy,36
54,2054,changedp,36
55,2055,changegreedy,37
55,2055,changedp,37
56,2056,changegreedy,37
56,2056,changedp,37
57,2057,changegreedy,38
57,2057,changedp,38
58,2058,changegreedy,36
58,2058,changedp,36
59,2059,changegreedy,37
59,2059,changedp,37
60,2060,changegreedy,37
60,2060,changedp,37
61,2061,changegreedy,38
61,2061,changedp,38
62,2062,changegreedy,38
62,2062,changedp,38
63,2063,changegreedy,39
63,2063,changedp,39
64,2064,changegreedy,35
64,2064,changedp,35
65,2065,changegreedy,36
65,2065,changedp,36
66,2066,changegreedy,36
66,2066,changedp,36
67,2067,changegreedy,37
67,2067,changedp,37
68,2068,changegreedy,37
68,2068,changedp,37
69,2069,changegreedy,38
69,2069,changedp,38
70,2070,changegreedy,36
70,2070,changedp,36
71,2071,changegreedy,37
71,2071,changedp,37
72,2072,changegreedy,37
72,2072,changedp,37
73,2073,changegreedy,38
73,2073,changedp,38
74,2074,changegreedy,38
74,2074,changedp,38
75,2075,changegreedy,39
75,2075,changedp,39
76,2076,changegreedy,36
76,2076,changedp,35
77,2077,changegreedy,37
77,2077,changedp,36
78,2078,changegreedy,37
78,2078,changedp,36
79,2079,changegreedy,38
79,2079,changedp,37
80,2080,changegreedy,38
80,2080,changedp,37
81,2081,changegreedy,39
81,2081,changedp,38
82,2082,changegreedy,37
