set,size,algorithm,coins
0,2010,changegreedy,41
0,2010,changedp,41
1,2015,changegreedy,42
1,2015,changedp,42
2,2020,changegreedy,42
2,2020,changedp,42
3,2025,changegreedy,41
3,2025,changedp,41
4,2030,changegreedy,42
4,2030,changedp,42
5,2035,changegreedy,42
5,2035,changedp,42
6,2040,changegreedy,43
6,2040,changedp,43
7,2045,changegreedy,43
7,2045,changedp,43
8,2050,changegreedy,41
8,2050,changedp,41
9,2055,changegreedy,42
9,2055,changedp,42
10,2060,changegreedy,42
10,2060,changedp,42
11,2065,changegreedy,43
11,2065,changedp,43
12,2070,changegreedy,43
12,2070,changedp,43
13,2075,changegreedy,42
13,2075,changedp,42
14,2080,changegreedy,43
14,2080,changedp,43
15,2085,changegreedy,43
15,2085,changedp,43
16,2090,changegreedy,44
16,2090,changedp,44
17,2095,changegreedy,44
17,2095,changedp,44
18,2100,changegreedy,42
18,2100,changedp,42
19,2105,changegreedy,43
19,2105,changedp,43
20,2110,changegreedy,43
20,2110,changedp,43
21,2115,changegreedy,44
21,2115,changedp,44
22,2120,changegreedy,44
22,2120,changedp,44
23,2125,changegreedy,43
23,2125,changedp,43
24,2130,changegreedy,44
24,2130,changedp,44
25,2135,changegreedy,44
25,2135,changedp,44
26,2140,changegreedy,45
26,2140,changedp,45
27,2145,changegreedy,45
27,2145,changedp,45
28,2150,changegreedy,43
28,2150,changedp,43
29,2155,changegreedy,44
29,2155,changedp,44
30,2160,changegreedy,44
30,2160,changedp,44
31,2165,changegreedy,45
31,2165,changedp,45
32,2170,changegreedy,45
32,2170,changedp,45
33,2175,changegreedy,44
33,2175,changedp,44
34,2180,changegreedy,45
34,2180,changedp,45
35,2185,changegreedy,45
35,2185,changedp,45
36,2190,changegreedy,46
36,2190,changedp,46
37,2195,changegreedy,46
37,2195,changedp,46
38,2200,changegreedy,44
38,2200,changedp,44
