set,size,algorithm,timing
0,2000,changegreedy,0.019073486
0,2000,changedp,15.42496681
1,2001,changegreedy,0.019073486
1,2001,changedp,13.38601112
2,2002,changegreedy,0.021219254
2,2002,changedp,13.84806633
3,2003,changegreedy,0.03194809
3,2003,changedp,16.60513878
4,2004,changegreedy,0.014066696
4,2004,changedp,12.45188713
5,2005,changegreedy,0.017166138
5,2005,changedp,11.94310188
6,2006,changegreedy,0.011920929
6,2006,changedp,12.1819973
7,2007,changegreedy,0.025033951
7,2007,changedp,18.51701736
8,2008,changegreedy,0.013828278
8,2008,changedp,12.09712029
9,2009,changegreedy,0.027894974
9,2009,changedp,11.97600365
10,2010,changegreedy,0.014066696
10,2010,changedp,17.9669857
11,2011,changegreedy,0.020027161
11,2011,changedp,26.30710602
12,2012,changegreedy,0.018835068
12,2012,changedp,21.42000198
13,2013,changegreedy,0.023126602
13,2013,changedp,12.92490959
14,2014,changegreedy,0.025033951
14,2014,changedp,17.5011158
15,2015,changegreedy,0.035047531
15,2015,changedp,12.28284836
16,2016,changegreedy,0.018835068
16,2016,changedp,18.846035
17,2017,changegreedy,0.015974045
17,2017,changedp,12.17985153
18,2018,changegreedy,0.012874603
18,2018,changedp,12.27998734
19,2019,changegreedy,0.037908554
19,2019,changedp,12.18795776
20,2020,changegreedy,0.014781952
20,2020,changedp,12.65406609
21,2021,changegreedy,0.024080276
21,2021,changedp,11.92307472
22,2022,changegreedy,0.015974045
22,2022,changedp,11.50012016
23,2023,changegreedy,0.012874603
23,2023,changedp,11.93094254
24,2024,changegreedy,0.014066696
24,2024,changedp,12.38203049
25,2025,changegreedy,0.022888184
25,2025,changedp,12.27903366
26,2026,changegreedy,0.030040741
26,2026,changedp,12.4270916
27,2027,changegreedy,0.016927719
27,2027,changedp,11.7650032
28,2028,changegreedy,0.022888184
28,2028,changedp,12.19797134
29,2029,changegreedy,0.01502037
29,2029,changedp,12.38703728
30,2030,changegreedy,0.020980835
30,2030,changedp,17.81988144
31,2031,changegreedy,0.014066696
31,2031,changedp,12.64095306
32,2032,changegreedy,0.021934509
32,2032,changedp,12.11690903
33,2033,changegreedy,0.011920929
33,2033,changedp,12.25590706
34,2034,changegreedy,0.020027161
34,2034,changedp,12.5348568
35,2035,changegreedy,0.020980835
35,2035,changedp,15.64598083
36,2036,changegreedy,0.025033951
