set,size,algorithm,timing
0,2000,changegreedy,0.018835068
0,2000,changedp,29.25896645
1,2001,changegreedy,0.028133392
1,2001,changedp,27.51398087
2,2002,changegreedy,0.025987625
2,2002,changedp,27.6119709
3,2003,changegreedy,0.021219254
3,2003,changedp,27.74405479
4,2004,changegreedy,0.020980835
4,2004,changedp,27.58789063
5,2005,changegreedy,0.020027161
5,2005,changedp,37.98007965
6,2006,changegreedy,0.026226044
6,2006,changedp,28.22709084
7,2007,changegreedy,0.020980835
7,2007,changedp,27.70709991
8,2008,changegreedy,0.022172928
8,2008,changedp,28.01799774
9,2009,changegreedy,0.020027161
9,2009,changedp,27.62293816
10,2010,changegreedy,0.045061111
10,2010,changedp,27.135849
11,2011,changegreedy,0.023841858
11,2011,changedp,27.99582481
12,2012,changegreedy,0.025987625
12,2012,changedp,33.87117386
13,2013,changegreedy,0.026941299
13,2013,changedp,38.96021843
14,2014,changegreedy,0.021219254
14,2014,changedp,28.27000618
15,2015,changegreedy,0.020027161
15,2015,changedp,35.4719162
16,2016,changegreedy,0.021219254
16,2016,changedp,28.03015709
17,2017,changegreedy,0.019073486
17,2017,changedp,27.81295776
18,2018,changegreedy,0.019073486
18,2018,changedp,27.71091461
19,2019,changegreedy,0.019073486
19,2019,changedp,27.92596817
20,2020,changegreedy,0.020027161
20,2020,changedp,27.93192863
21,2021,changegreedy,0.018835068
21,2021,changedp,27.75502205
22,2022,changegreedy,0.023126602
22,2022,changedp,27.77886391
23,2023,changegreedy,0.025033951
23,2023,changedp,27.27413177
24,2024,changegreedy,0.025033951
24,2024,changedp,29.64115143
25,2025,changegreedy,0.020980835
25,2025,changedp,27.62389183
26,2026,changegreedy,0.025033951
26,2026,changedp,27.07290649
27,2027,changegreedy,0.025033951
27,2027,changedp,36.02695465
28,2028,changegreedy,0.027894974
28,2028,changedp,28.32698822
29,2029,changegreedy,0.034093857
29,2029,changedp,27.40716934
30,2030,changegreedy,0.029087067
30,2030,changedp,26.82995796
31,2031,changegreedy,0.030994415
31,2031,changedp,27.35805511
32,2032,changegreedy,0.027894974
32,2032,changedp,27.58312225
33,2033,changegreedy,0.026941299
33,2033,changedp,27.58908272
34,2034,changegreedy,0.025033951
34,2034,changedp,27.78482437
35,2035,changegreedy,0.027179718
35,2035,changedp,47.26815224
36,2036,changegreedy,0.026941299
36,2036,changedp,30.07102013
37,2037,changegreedy,0.032901764
37,2037,changedp,33.69379044
38,2038,changegreedy,0.020027161
38,2038,changedp,28.22208405
39,2039,changegreedy,0.021934509
39,2039,changedp,35.05396843
40,2040,changegreedy,0.020980835
40,2040,changedp,28.88083458
41,2041,changegreedy,0.020027161
41,2041,changedp,28.11288834
42,2042,changegreedy,0.020027161
42,2042,changedp,28.5449028
43,2043,changegreedy,0.018835068
43,2043,changedp,28.36108208
44,2044,changegreedy,0.028848648
44,2044,changedp,28.621912
45,2045,changegreedy,0.024795532
45,2045,changedp,27.81200409
46,2046,changegreedy,0.020027161
46,2046,changedp,29.15906906
47,2047,changegreedy,0.020027161
47,2047,changedp,28.01799774
48,2048,changegreedy,0.026941299
48,2048,changedp,28.04398537
49,2049,changegreedy,0.025033951
49,2049,changedp,28.2869339
50,2050,changegreedy,0.026941299
50,2050,changedp,32.32502937
51,2051,changegreedy,0.025987625
51,2051,changedp,28.2831192
52,2052,changegreedy,0.024795532
52,2052,changedp,29.45804596
53,2053,changegreedy,0.033855438
53,2053,changedp,29.2570591
54,2054,changegreedy,0.040054321
54,2054,changedp,43.3011055
55,2055,changegreedy,0.026226044
55,2055,changedp,30.11107445
56,2056,changegreedy,0.020980835
56,2056,changedp,27.98700333
57,2057,changegreedy,0.020027161
57,2057,changedp,28.59282494
58,2058,changegreedy,0.020980835
58,2058,changedp,28.66983414
59,2059,changegreedy,0.019073486
59,2059,changedp,27.88591385
60,2060,changegreedy,0.025987625
60,2060,changedp,27.88805962
61,2061,changegreedy,0.024080276
61,2061,changedp,28.40709686
62,2062,changegreedy,0.019788742
62,2062,changedp,30.70783615
63,2063,changegreedy,0.029802322
63,2063,changedp,29.71386909
64,2064,changegreedy,0.030994415
64,2064,changedp,31.64696693
65,2065,changegreedy,0.030994415
65,2065,changedp,27.96506882
66,2066,changegreedy,0.03194809
66,2066,changedp,26.10015869
67,2067,changegreedy,0.05698204
67,2067,changedp,28.92899513
