set,size,algorithm,timing
0,2010,changegreedy,0.0209808349609375
0,2010,changedp,15.937089920043945
1,2015,changegreedy,0.017881393432617188
1,2015,changedp,13.275146484375
2,2020,changegreedy,0.0247955322265625
2,2020,changedp,12.897014617919922
3,2025,changegreedy,0.014066696166992188
3,2025,changedp,12.109994888305664
4,2030,changegreedy,0.0438690185546875
4,2030,changedp,12.617111206054688
5,2035,changegreedy,0.0171661376953125
5,2035,changedp,12.43281364440918
6,2040,changegreedy,0.0209808349609375
6,2040,changedp,12.457132339477539
7,2045,changegreedy,0.02002716064453125
7,2045,changedp,16.056060791015625
8,2050,changegreedy,0.015974044799804688
8,2050,changedp,12.320995330810547
9,2055,changegreedy,0.012874603271484375
9,2055,changedp,12.939214706420898
10,2060,changegreedy,0.02002716064453125
10,2060,changedp,12.726068496704102
11,2065,changegreedy,0.011920928955078125
11,2065,changedp,12.533903121948242
12,2070,changegreedy,0.023126602172851562
12,2070,changedp,12.454032897949219
13,2075,changegreedy,0.012874603271484375
13,2075,changedp,12.714862823486328
14,2080,changegreedy,0.021219253540039062
14,2080,changedp,12.948036193847656
15,2085,changegreedy,0.015020370483398438
15,2085,changedp,12.648820877075195
16,2090,changegreedy,0.019073486328125
16,2090,changedp,12.720108032226562
17,2095,changegreedy,0.012874603271484375
17,2095,changedp,12.671232223510742
18,2100,changegreedy,0.05817413330078125
18,2100,changedp,12.598037719726562
19,2105,changegreedy,0.013113021850585938
19,2105,changedp,12.88294792175293
20,2110,changegreedy,0.02193450927734375
20,2110,changedp,12.723922729492188
21,2115,changegreedy,0.013113021850585938
21,2115,changedp,12.652873992919922
22,2120,changegreedy,0.021219253540039062
22,2120,changedp,13.008832931518555
23,2125,changegreedy,0.013113021850585938
23,2125,changedp,12.885093688964844
24,2130,changegreedy,0.02193450927734375
24,2130,changedp,12.764930725097656
25,2135,changegreedy,0.015020370483398438
25,2135,changedp,12.87984848022461
26,2140,changegreedy,0.02193450927734375
26,2140,changedp,12.721061706542969
27,2145,changegreedy,0.015020370483398438
27,2145,changedp,13.051986694335938
28,2150,changegreedy,0.0209808349609375
